num he,SUM he,MAE he,MSE he,MEAN he,Var he,Loss he
0.1,16.026658899536883,0.003271414349772787,1.1790267529196149e-05,-0.09673574113195563,1.1348815715534616e-06,-0.0032642588680443785
0.2,26.05524857827846,0.005318483073745348,2.9561442356359856e-05,-0.19468151692625416,1.27518015071576e-06,-0.0053184830737458555
0.3,25.719046410478747,0.005249856380991783,2.9039461651984846e-05,-0.29475033261282296,1.4804539763685343e-06,-0.005249667387177082
0.4,16.23693464423849,0.003314336526686771,1.2143272241770797e-05,-0.39672141051999177,1.3941232633873923e-06,-0.003278589480008254
0.5,4.680055314420643,0.0009553082903491821,1.521458564454069e-06,-0.49975543217529367,1.4616451448068446e-06,-0.0002445678247063321
0.6,13.202778836191266,0.00269499465935727,8.630811557426188e-06,-0.6026884025587872,1.4033032408877766e-06,0.0026884025587871063
0.7,22.520467205548638,0.004596951868860714,2.267211657244393e-05,-0.7045949981503061,1.5581085708316067e-06,0.004594998150306062
0.8,24.27931357805685,0.004955973377843815,2.614693999431505e-05,-0.8049556764599687,1.5882108125309102e-06,0.004955676459968639
0.9,14.985904591024397,0.0030589721557510506,1.0606753413550363e-05,-0.9030486369691971,1.3125660425217234e-06,0.003048636969197105
1,4.623361957345784,0.0009437358557554162,1.434879139072446e-06,-1.0002683203269973,1.3628833408496632e-06,0.0002683203269973067
