num no,SUM no,MAE no,MSE no,MEAN no,Var no,Loss no
0.1,5.487987564988689,0.001073549993151152,1.3767656907582304e-06,-0.09893211496020138,2.363872325158306e-07,-0.0010678850397986273
0.2,10.433665512900035,0.0020410143804577533,4.4223536956722575e-06,-0.1979608349544767,2.6415961272563404e-07,-0.002039165045523317
0.3,11.14417503987562,0.002180002942072696,5.062557838724144e-06,-0.297822542104078,3.21234950195759e-07,-0.0021774578959220525
0.4,8.028496556520134,0.0015705196706807772,2.817611131754916e-06,-0.3984458741195959,4.023038791822753e-07,-0.0015541258804041003
0.5,2.9158167260131553,0.0005703866834924013,5.202762011048482e-07,-0.49955173076118936,3.1933088967539547e-07,-0.00044826923881063907
0.6,3.7321436175693594,0.0007300750425605164,7.520845364496849e-07,-0.6006718432626651,3.0071116574603707e-07,0.0006718432626650062
0.7,7.703443119996948,0.0015069333176832842,2.57463344943949e-06,-0.7014970969033066,3.333343121525445e-07,0.0014970969033065717
0.8,9.084469643459665,0.0017770871759506385,3.468524436924826e-06,-0.8017756992646646,3.154165569840828e-07,0.0017756992646645875
0.9,5.600114386047039,0.0010954840348292331,1.4233019220921396e-06,-0.9010694115932152,2.7966076743268786e-07,0.0010694115932151638
1,3.379441579448739,0.0006610801211754184,7.937514423827884e-07,-1.0003594020407345,6.645816148509454e-07,0.00035940204073448
