02.jpg,26.57,0.898
102.jpg,30.40,0.954
112.jpg,33.52,0.976
12.jpg,23.18,0.773
22.jpg,28.06,0.916
32.jpg,27.79,0.920
42.jpg,28.19,0.928
52.jpg,20.86,0.591
62.jpg,24.65,0.840
72.jpg,24.91,0.850
82.jpg,23.15,0.734
92.jpg,31.96,0.966
image-0020-3.tiff,29.16,0.826
image-0700-1.tiff,29.08,0.826
image-0800-1.tiff,28.99,0.824
image-0900-1.tiff,29.04,0.821
image-1000-1.tiff,28.57,0.815
image-1100-1.tiff,27.95,0.807
image-1200-1.tiff,26.85,0.796
image-1300-1.tiff,25.38,0.781
image-1400-1.tiff,23.96,0.759
image-1500-1.tiff,22.14,0.725
image-1600-1.tiff,20.51,0.686
mmexport1698924350638.jpg,15.24,0.918
