num Sample_GCA,SUM Sample_GCA,MAE Sample_GCA,MSE Sample_GCA,MEAN Sample_GCA,Var Sample_GCA,Loss Sample_GCA
0,972.63716320526,0.42270193968068664,0.24899531993215598,-0.4202603164448529,0.0723765863538281,0.4202603164448529
0.1,981.4261983055674,0.4265215985682605,0.2531412163491214,-0.3240909246397238,0.07328810398734506,0.42409092463972375
0.2,981.6480392158029,0.42661800922025334,0.25398457785999345,-0.2245455472850043,0.07374565614046931,0.4245455472850043
0.3,974.8585505687131,0.4236673405339909,0.25196434763797376,-0.12157556894883603,0.074238387303439,0.4215755689488361
0.4,972.8182035782792,0.4227806186780874,0.24971679045841397,-0.021290248403572687,0.07223131705846958,0.4212902484035727
0.5,975.7208216132817,0.42404207805879257,0.2520673906248209,0.07762900126296933,0.07367013005070394,0.42237099873703066
0.6,972.6897973721078,0.4227248141556314,0.25129108326153377,0.17931945896859444,0.0743189656590575,0.4206805410314056
0.7,966.5100619764113,0.42003914036349904,0.24793977918595925,0.28180320913233037,0.07305122329394044,0.4181967908676697
0.8,971.9036904102633,0.4223831770579154,0.24952181462520814,0.3795145562906717,0.07271380625377952,0.42048544370932833
0.9,980.3579723785946,0.42605735435836356,0.2518364294856851,0.47558802769691133,0.07171090725148643,0.4244119723030887
1,987.971309479255,0.4293660623551738,0.2541391330201844,0.572370452130699,0.07127210280927948,0.42762954786930096
