num,SUM,MAE,MSE,MEAN,Var
1,104.87505621548578,0.004480308279882338,3.407680412055043e-05,0.10052678525581132,3.379930141477437e-05
2,242.92860970918488,0.01037801647766511,0.00013958476194298895,0.19823603053678246,0.00013647317367523198
3,156.77307640089325,0.006697414405369671,6.776647592499847e-05,0.2951559945553331,4.4302087178316185e-05
4,301.4371782137202,0.012877528119178068,0.00019607158268848354,0.39069785860014233,0.00010954174806668271
5,81.68787866934639,0.003489741911711654,2.1850821027687947e-05,0.4999258212928117,2.1845318546098724e-05
6,299.40762636132126,0.012790824776201352,0.00019399256263247244,0.6089848022107066,0.0001132658918645002
7,152.54837934894644,0.006516933499186023,6.54906466223678e-05,0.704379895022078,4.630716621217834e-05
8,245.04193118533183,0.010468298495613971,0.00013707952773204187,0.8013609663746157,0.00013522729825610202
9,107.73440286993919,0.0046024608198025965,3.5632254653191296e-05,0.8992717843690599,3.510195666023286e-05
10,70.54710362896152,0.003013803128373271,1.6146167402065033e-05,1.0002048647306259,1.610419783837358e-05
