num Sample_dark,SUM Sample_dark,MAE Sample_dark,MSE Sample_dark,MEAN Sample_dark,Var Sample_dark,Loss Sample_dark
0,37.170624651347026,0.016154117623358118,0.0005952582916311294,0.004207837558377442,0.0005775523947134376,-0.004207837558377442
0.1,38.143913797878625,0.01657710291085555,0.0006594676621901789,0.09913268671102368,0.0006587154298488985,0.0008673132889763235
0.2,42.46123671379692,0.01845338405640892,0.0007673219516574944,0.1951272176697764,0.0007435779440197049,0.004872782330223618
0.3,477.83575231198495,0.20766438605475226,1.302707692501408,0.4682910068340769,1.2743858295201815,-0.16829100683407683
0.4,36.2142340620368,0.015738476341606605,0.0005230411779370291,0.398268435614229,0.0005200428627153697,0.001731564385771045
0.5,35.66656988155258,0.015500464963734282,0.000543105219349517,0.5014375457827962,0.0005410386814716506,-0.0014375457827962013
0.6,45.601338899629496,0.01981805254221186,0.0008515716441489161,0.6088659459067678,0.0007729666473269003,-0.008865945906767703
0.7,49.584372004679594,0.02154905345705328,0.0009220131698178198,0.7125875470043121,0.0007635668302361509,-0.012587547004312083
0.8,46.21321935179189,0.020083971904298954,0.0008666233826283017,0.8109401847407804,0.0007469357404626953,-0.010940184740780401
0.9,42.37412464574619,0.018415525704366012,0.0007376025575194425,0.9058119836768073,0.0007038234032624713,-0.005811983676807242
1,41.73408535162242,0.018137368688232253,0.00074624098793459,1.003946627291238,0.0007306651209650905,-0.0039466272912380695
