num,SUM,MAE,MSE,MEAN,Var
1,1376.1246956866257,0.05878864899549836,0.0064779414997659145,0.100870810236221,0.006477183189298283
2,1404.8953848114802,0.060017745420859546,0.006749134726336569,0.1979258767568955,0.0067448327391088705
3,1386.3409299183038,0.05922509099104169,0.006508236567495638,0.2948714692211957,0.006481934739546877
4,1412.221172711769,0.060330706284679125,0.006680945870668497,0.3901375042849731,0.006583677048941472
5,1390.902317710177,0.0594199554729228,0.00658937165303864,0.49941769703696665,0.006589032576298698
6,1420.9425011639514,0.06070328525136498,0.006903143552767278,0.6088403277212051,0.006824992158549481
7,1400.1290562209554,0.05981412577840718,0.006678827039314048,0.7039825639236541,0.006662966223901223
8,1388.048214571468,0.05929802693828896,0.006454920032058189,0.8012090360443261,0.006453458263892986
9,1371.599180091359,0.058595316989548826,0.006364383312706618,0.8992117325173855,0.006363761947084767
10,1345.5362816788877,0.057481898567963416,0.006161667648158084,0.9998354926072403,0.006161640585478967
