num Sample_he,SUM Sample_he,MAE Sample_he,MSE Sample_he,MEAN Sample_he,Var Sample_he,Loss Sample_he
0,21.509334183276618,0.009347820157877712,0.0001748771647749816,0.0007849026919272955,0.0001742610925391869,-0.0007849026919272955
0.1,22.353911060203973,0.009714867909693165,0.0001874865633824746,0.09585693470520311,0.0001703215733455249,0.0041430652947968966
0.2,27.38461318138561,0.011901179131414868,0.0002467864511751602,0.19233852824987174,0.0001880883017972776,0.007661471750128268
0.3,28.414225675228394,0.012348642188278311,0.0002452021094280214,0.29185805415927196,0.00017891082735430053,0.008141945840728082
0.4,25.26647280314919,0.0109806487627767,0.00019807955635462785,0.3945462279002767,0.00016833592623982652,0.0054537720997233086
0.5,21.59305650882917,0.009384205349339057,0.0001741068892399443,0.49794136354718077,0.0001698689051952973,0.002058636452819229
0.6,24.255374842105784,0.01054123200439191,0.00020548232764219394,0.6040094924862135,0.00018940629764552241,-0.004009492486213406
0.7,27.988866851852524,0.012163783942569546,0.0002442522337264485,0.7071886962812715,0.0001925748795041926,-0.0071886962812713895
0.8,27.008212147495172,0.011737597630375999,0.0002471955769614143,0.8068118565375317,0.00020079418747098732,-0.006811856537531691
0.9,23.3938190696771,0.010166805332323815,0.0002024283464137261,0.9033943005833669,0.00019090706996693907,-0.0033943005833668716
1,21.570344340818707,0.009374334785231945,0.00018019470244943627,1.0005865420697362,0.00017985067084791417,-0.0005865420697361845
