02.jpg,25.36,0.863
102.jpg,28.85,0.934
112.jpg,32.73,0.970
12.jpg,22.94,0.758
22.jpg,26.23,0.872
32.jpg,26.29,0.888
42.jpg,26.29,0.889
52.jpg,20.62,0.569
62.jpg,24.24,0.824
72.jpg,24.29,0.825
82.jpg,22.93,0.721
92.jpg,29.45,0.945
image-0020-3.tiff,26.83,0.295
image-0700-1.tiff,26.67,0.296
image-0800-1.tiff,26.57,0.291
image-0900-1.tiff,26.64,0.292
image-1000-1.tiff,26.18,0.302
image-1100-1.tiff,25.63,0.319
image-1200-1.tiff,24.78,0.345
image-1300-1.tiff,23.71,0.371
image-1400-1.tiff,22.55,0.380
image-1500-1.tiff,21.12,0.388
image-1600-1.tiff,19.76,0.393
mmexport1698924350638.jpg,15.99,0.933
