num,SUM,MAE,MSE,MEAN,Var
1,998.8884520553712,0.04267295164283028,0.00369823740483251,0.08375399392262523,0.003434304691366378
2,1047.646506680292,0.04475591706597283,0.0038744524475637187,0.18082686801812026,0.0035068434575696375
3,1054.5900853150358,0.045052549782768105,0.003997022398150548,0.2774978620049673,0.0034906761838032208
4,1114.0692972473803,0.0475935277361321,0.004431625840317378,0.3714363721477519,0.0036157450042359485
5,1011.6371852419314,0.04321758310158627,0.0038515592202244507,0.4816080397613341,0.0035132950188025425
6,953.9856420119633,0.040754683954714765,0.003463146742226401,0.5915721861285622,0.003392118695577928
7,990.720904493133,0.04232403043801833,0.0037888847953346347,0.6872050948293394,0.003625175197003949
8,1047.4994504608142,0.04474963475994592,0.004121137495828642,0.7844294042609398,0.0038786940441571938
9,975.5926657554926,0.041677745461188166,0.0035428249263786916,0.8859588019886313,0.003345669684783892
10,990.468148838553,0.04231323260588487,0.004185971559736341,0.9856423755495077,0.003979830179873911
