num,SUM,MAE,MSE,MEAN,Var
1,1083.1198108960023,0.0456704254889527,0.004724715497935586,0.07392272331151967,0.004044691138448067
10,982.583874494001,0.041431264736633534,0.003835699857608095,0.9819657147831017,0.003510464414316683
2,1153.6359863549985,0.04864378421129189,0.004581908903666152,0.16707833903630573,0.003498073143057282
3,972.076623526003,0.040988219915921865,0.004117106286186127,0.28835186563181,0.003981427251926642
4,1061.6800325550007,0.044766403801442096,0.004333903610618498,0.3777506535026579,0.0038388701910582745
5,1087.966523303995,0.045874790154494645,0.004663099133336568,0.4761981911531452,0.004096573028955386
6,1079.6256771419996,0.04552309314985662,0.004583353830780499,0.5763943717911123,0.004026128147641861
7,1205.408901628996,0.05082682162375595,0.00524809958177975,0.667206368016146,0.004172677283090287
8,972.1980746189953,0.04099334097735686,0.00391766380933047,0.7927532983856908,0.0038651491250398795
9,960.5828842769993,0.04050357919872657,0.0038823246936733045,0.8927831583216819,0.0038302418898712443
