num,SUM,MAE,MSE,MEAN,Var
1,746.1715065084869,0.17665045135144103,0.04745730132540736,-0.2365739593337919,0.028804854957299328
2,648.2594323846422,0.15347050956075808,0.03622862328644357,-0.32340974801135486,0.02099865738221722
3,596.116920640225,0.1411261649242957,0.02940770679338067,-0.4165745100224749,0.01581809040640092
4,492.6224830234642,0.1166246408672974,0.02230203126951057,-0.4756619877549105,0.01657729487848683
5,406.50533611168714,0.0962370587385623,0.01677341504496624,-0.5109222997748329,0.016654118412595953
6,449.5067073267288,0.10641730760575967,0.01968034243773222,-0.5461403962956808,0.016779485526547233
7,497.16985047726763,0.11770119566223192,0.024022851838507577,-0.640866318287376,0.020526059525619977
8,508.20992394843364,0.12031484941961024,0.025540883878834433,-0.7699963853897638,0.024640666989157567
9,525.6662139402687,0.12444749383055603,0.028561353757144144,-0.9204274461844926,0.028144073199529496
10,688.9438909968588,0.16310224692160483,0.044648057486491,-1.1043160145358164,0.033766226597856885
