num,SUM,MAE,MSE,MEAN,Var
1,46.516902473779105,0.011012524259890886,0.00022120225277447346,-0.09797772470022559,0.00021711265538642763
2,47.58274839311922,0.011264855206704361,0.00022304452629234037,-0.1976520708463933,0.00021753175498172989
3,47.302608058318185,0.011198534104715479,0.0002178598071282405,-0.2974631880938264,0.00021142439248100775
4,47.319248324601354,0.011202473561695396,0.00023086131809351722,-0.398148463277384,0.00022743312985842867
5,38.228845932652526,0.009050389662086298,0.00015200185257972684,-0.4988450064563911,0.00015066784249373466
6,41.712446136209095,0.009875105619367684,0.00017070147729757109,-0.6003012656500972,0.00017061071630558589
7,39.482473163528766,0.009347176411820257,0.00015697443155623066,-0.7005977264534626,0.00015661715464271309
8,40.881682854905144,0.009678428706180195,0.0001666207243843883,-0.8007570150224053,0.00016604765263483756
9,40.499565142973466,0.00958796523271152,0.00016479588842702923,-0.9000674857019723,0.0001647913341025209
10,40.73315557588324,0.009643265998078418,0.0001669291628578844,-0.9997028341267644,0.00016684085530516146
