num my,SUM my,MAE my,MSE my,MEAN my,Var my,Loss my
0.1,14.990115017329229,0.003149183827170006,1.8834848325555534e-05,-0.0992683620514226,1.829955423771415e-05,-0.0007316379485774044
0.2,18.605160035700504,0.003908647066323635,2.6530465184405212e-05,-0.1976705358377296,2.1104061901422444e-05,-0.0023294641622704226
0.3,21.35884220145636,0.004487151722995034,3.3159711108092684e-05,-0.29737525816794014,2.62704414235454e-05,-0.002624741832059907
0.4,22.15612675747816,0.004654648478461798,3.874961771753576e-05,-0.39811703362683876,3.520405535428761e-05,-0.0018829663731612656
0.5,21.57741318982774,0.004533069997862971,3.738496502320282e-05,-0.4986701444296843,3.56164491840949e-05,-0.0013298555703156745
0.6,21.63009000308838,0.004544136555270668,3.52004920169057e-05,-0.5999182156898658,3.519380334227051e-05,-8.178431013428078e-05
0.7,22.823062850754376,0.004794761103099659,3.870720484863076e-05,-0.7001712510779969,3.8677877917114856e-05,0.00017125107799687012
0.8,22.95318607541452,0.004822097915003051,3.961932257780148e-05,-0.800519113703725,3.934984354092563e-05,0.0005191137037249272
0.9,23.209820960135822,0.004876012806751223,4.035083251681906e-05,-0.8994293031925978,4.002513767364935e-05,-0.0005706968074021823
1,25.46386213282427,0.0053495508682403934,4.5929847801547024e-05,-0.9989410586138235,4.480849094179451e-05,-0.0010589413861764596
