num,SUM,MAE,MSE,MEAN,Var
1,1490.2568790128107,0.06366442579514742,0.006106680631257912,0.14376107619231981,0.004191648841747563
2,1504.975798661299,0.06429322448142938,0.00623233327641117,0.24410569780960142,0.0042870206971397234
3,1469.0548928975882,0.06275866767334194,0.005874169545797527,0.3422268582281101,0.004091061989981409
4,1396.420715077919,0.05965570382253585,0.005403972854580884,0.43735673784396245,0.004008446992236292
5,1531.979470030229,0.06544683313526269,0.006335460213413951,0.5464778075183746,0.004175273621700615
6,1662.3750334176686,0.07101738864566254,0.007289981032069607,0.6542096275154377,0.0043512973167063596
7,1545.8727285323132,0.06604035921617879,0.006492453106843164,0.7484209221953994,0.004147867400594474
8,1528.733581453185,0.06530816735531378,0.006347470305346208,0.8453815096105448,0.00428798889081472
9,1511.632427684103,0.0645775985852744,0.00624692591225646,0.9453761494314714,0.0041879309750259
10,1479.4419221398812,0.06320240610645425,0.006085776278283975,1.0419560665323784,0.004325464759411757
