num dark,SUM dark,MAE dark,MSE dark,MEAN dark,Var dark,Loss dark,num GCA,SUM GCA,MAE GCA,MSE GCA,MEAN GCA,Var GCA,Loss GCA,num global,SUM global,MAE global,MSE global,MEAN global,Var global,Loss global,num He,SUM He,MAE He,MSE He,MEAN He,Var He,Loss He,num He-1,SUM He-1,MAE He-1,MSE He-1,MEAN He-1,Var He-1,Loss He-1,num mid,SUM mid,MAE mid,MSE mid,MEAN mid,Var mid,Loss mid,num my,SUM my,MAE my,MSE my,MEAN my,Var my,Loss my,num no,SUM no,MAE no,MSE no,MEAN no,Var no,Loss no
0.1,678.9107696771327,0.2524770433905291,1.7864385437081522,0.104191775762469,1.7864209727241092,-0.004191775762469,0.1,24.486032376378443,0.0090022177854332,0.0001460920098188,0.0955965295430069,0.0001267014577532,0.004403470456993,0.1,16.234115736312216,0.0057202662918647,5.05429955282254e-05,0.0958523981935849,3.334039478365171e-05,0.0041476018064151,0.1,15.785255614996514,0.006071252159614,5.8296780902117295e-05,0.0954628511212595,3.7711060954266976e-05,0.0045371488787404,0.1,37.99659740669365,0.0129947323552303,0.0003773818131668,0.0983336627138228,0.0003746051332156,0.0016663372861772,0.1,36.57542062010565,0.012887745109269,0.0004140530430969,0.0978644037814823,0.0004094922718883,0.0021355962185177,0.1,24.31786175890383,0.0080790238401673,0.0001116910314964,0.0942367618912644,7.847611799843487e-05,0.0057632381087355,0.1,15.843428254626502,0.0055826033314399,4.699121917306792e-05,0.0955556175291887,2.7238683626178845e-05,0.0044443824708112
0.2,33.14896954481144,0.0123184576532186,0.0007695694414409,0.1919759603732023,0.0007051842295083,0.0080240396267976,0.2,29.752871734026197,0.0109385557845684,0.0002151600198226,0.1915969138749455,0.0001445481633976,0.0084030861250544,0.2,22.591824733607584,0.0079604738314332,8.816851429566016e-05,0.1931539151830167,4.1299636974322096e-05,0.0068460848169833,0.2,21.692203374558726,0.008343155144061,9.341607016188904e-05,0.1927288844967007,4.054694949938431e-05,0.0072711155032993,0.2,42.18160137239341,0.0144259922614204,0.0004321345466158,0.1960191689504908,0.0004162875307711,0.0039808310495091,0.2,41.36829827106335,0.0145765673964282,0.0005018547604897,0.1952105849096553,0.000478916263582,0.0047894150903447,0.2,35.06168927627732,0.011648401752916,0.000215748113748,0.190961675933579,0.0001340568118185,0.0090383240664209,0.2,23.11150876408846,0.0081435901212432,8.973379872914741e-05,0.1927249718833192,3.6807764630657214e-05,0.0072750281166808
0.3,30.807041372241414,0.0114481759094171,0.0007122105378845,0.2921914555215945,0.0006512371710136,0.0078085444784055,0.3,35.94727853848983,0.0132159112273859,0.0002831397454634,0.2883563566573729,0.0001475653151731,0.011643643342627,0.3,23.78633916712865,0.0083813739137169,9.47479704705178e-05,0.2926104199393591,4.014207699810923e-05,0.0073895800606408,0.3,21.96537533850604,0.0084482212840407,0.0001004689340927,0.2925740260189141,4.5323844525060886e-05,0.0074259739810859,0.3,42.94926905877493,0.0146885325098409,0.0004433555040775,0.2963308098113657,0.0004298925474374,0.0036691901886343,0.3,41.47529791822476,0.0146142698795717,0.0005013762177439,0.2957366088650805,0.0004831997137746,0.0042633911349195,0.3,31.308851667439736,0.0104016118496477,0.0001836546179139,0.2924703659006217,0.0001269592282432,0.0075296340993782,0.3,23.78396232953053,0.0083805364092778,9.657081375231e-05,0.2924559839247179,3.965863520809243e-05,0.0075440160752821
0.4,626.5054391447034,0.2332484881402469,1.748311270616826,0.2918094876335747,1.73660608365073,0.1081905123664253,0.4,31.756317284568524,0.0116751166487384,0.0002445049391118,0.3925631633099268,0.0001891983991568,0.0074368366900731,0.4,18.2365669706266,0.0064258516457458,6.404197526427482e-05,0.3954983070957657,4.37767362595487e-05,0.0045016929042343,0.4,18.29913836681973,0.0070381301410845,7.44952497830557e-05,0.394962802646418,4.912189260469768e-05,0.0050371973535819,0.4,40.89733628438461,0.0139867771150426,0.0004359393467565,0.398725854536921,0.0004343159000953,0.001274145463079,0.4,39.252351740344345,0.0138309907471262,0.0004715980365502,0.3982206631635499,0.0004684319969721,0.00177933683645,0.4,31.01441664642372,0.0103037929057886,0.0001941084772146,0.3952402976244181,0.0001714537105096,0.0047597023755818,0.4,17.45496559199375,0.0061504459450295,5.610926113458161e-05,0.3954556151002864,3.545782701816491e-05,0.0045443848997135
0.5,777.6171016822647,0.2890769894729608,2.1021257024728515,0.6931697158545205,2.0648111633495234,-0.1931697158545204,0.5,31.0962490518466,0.0114324445043553,0.0002147530099547,0.4925747097451843,0.0001596180745868,0.0074252902548156,0.5,11.917508760305791,0.0041992631290718,3.127787277330919e-05,0.4991388952341106,3.053637135480569e-05,0.0008611047658893,0.5,15.542077408361036,0.0059777220801388,5.703880175578229e-05,0.4990402687627944,5.611771770938634e-05,0.0009597312372056,0.5,40.54129253157101,0.0138650111257082,0.0004450999836526,0.5025188983715182,0.0004387551346448,-0.0025188983715181,0.5,38.948782161793766,0.013724024722267,0.0004896875924393,0.5022391831121024,0.000484673651428,-0.0022391831121023,0.5,27.864708150224583,0.0092573781229982,0.0001540768425539,0.4990203628643384,0.0001531171536353,0.0009796371356616,0.5,11.404852949737682,0.0040186233085756,2.911928604566995e-05,0.4992373528354168,2.8537655348714885e-05,0.0007626471645831
0.6,726.983433456235,0.2702540644818718,1.813904826509634,0.7861735946754761,1.7792442191552542,-0.186173594675476,0.6,33.342658178923635,0.0122583302128395,0.000247256904175,0.5991383190628715,0.0002465144101383,0.0008616809371285,0.6,15.095618169255795,0.005319104358441,4.462099408260676e-05,0.603983356465261,2.8753865353337016e-05,-0.0039833564652609,0.6,16.136792821785505,0.0062064587776098,5.9728883934188094e-05,0.6039923417692757,4.3790091132756e-05,-0.0039923417692756,0.6,43.59248652904103,0.014908511124843,0.0005042791525865,0.6071930147171026,0.0004525396918647,-0.0071930147171025,0.6,40.66424999417957,0.0143284883700421,0.0005107353374305,0.6066031430388952,0.0004671338394371,-0.006603143038895,0.6,30.511576034791997,0.0101367362241833,0.0001891790253412,0.6036643559404283,0.0001757515208826,-0.0036643559404282,0.6,13.707053988814415,0.0048298287487013,3.70555352848958e-05,0.6037378198575986,2.3084237996295887e-05,-0.0037378198575984
0.7,34.826678309915906,0.0129419094425551,0.0008213787703998,0.7068290423152179,0.0007747429514562,-0.0068290423152178,0.7,35.67355557332216,0.0131152777843096,0.0002882414136288,0.699767960276008,0.0002881875711946,0.0002320397239921,0.7,20.15226405817715,0.0071008682375536,6.81737520891511e-05,0.7064702015569714,2.631024389937453e-05,-0.0064702015569713,0.7,21.274144696996828,0.0081823633449987,9.29342949390518e-05,0.70735608713316,3.882227702567409e-05,-0.0073560871331599,0.7,46.68033512390608,0.0159645468960007,0.0005404808533879,0.7096920798021807,0.0004465444424942,-0.0096920798021806,0.7,45.36415857302673,0.0159845519989523,0.0005987222967538,0.70968210717437,0.0005049790974188,-0.0096821071743699,0.7,32.52626058980968,0.0108060666411327,0.0001981294714005,0.7067861729627213,0.0001520773279213,-0.0067861729627212,0.7,20.630436847537187,0.0072693575925078,7.172477174758684e-05,0.7067533769893082,2.611667098773029e-05,-0.0067533769893081
0.8,714.7275363303959,0.2656979688960579,1.4257496967488137,0.9928665677855129,1.3885521837794523,-0.1928665677855127,0.8,28.312941138348037,0.0104091695361573,0.000192372060239,0.8010477735906097,0.0001912742307431,-0.0010477735906097,0.8,23.34550840628121,0.0082260424264556,9.225313490577332e-05,0.8077078751518131,3.284179555307354e-05,-0.007707875151813,0.8,25.042321722416528,0.0096316622009294,0.0001309761550083,0.8091291570609436,4.763464636603487e-05,-0.0091291570609435,0.8,46.77250579775239,0.0159960690142792,0.000525425673467,0.8105496048148779,0.000414131511721,-0.0105496048148778,0.8,45.45148290853321,0.016015321673197,0.0005664499343523,0.810683828621231,0.000452305740346,-0.0106838286212309,0.8,34.395744013662274,0.011427157479622,0.0002147696784922,0.8083041366584026,0.0001458109928457,-0.0083041366584025,0.8,21.671665726245788,0.0076362458513903,7.869239618646902e-05,0.8072087708796021,2.672601858988433e-05,-0.007208770879602
0.9,23.45695676069626,0.0087168178226296,0.0002347008928171,0.9061877318549124,0.0001964128673082,-0.0061877318549122,0.9,32.0598366654785,0.0117867046564259,0.0002350107394883,0.8950658136817519,0.0002106645448616,0.0049341863182481,0.9,15.46057536306281,0.005447700973595,4.530951386534196e-05,0.9042647729359286,2.71212256673925e-05,-0.0042647729359285,0.9,17.432717376515903,0.0067048912986599,6.809647035365608e-05,0.9055246931996418,3.757423540184934e-05,-0.0055246931996417,0.9,40.791419443900566,0.0139505538453832,0.000449079111909,0.9074409892371872,0.0003937107910768,-0.0074409892371871,0.9,39.14243706208434,0.0137922611212418,0.000480348240206,0.9071554624348664,0.0004291475975485,-0.0071554624348663,0.9,28.58854745149062,0.0094978562961762,0.0001551475091939,0.90500169339028,0.0001301305724242,-0.0050016933902801,0.9,13.918129937683196,0.0049042036425945,3.684785389042784e-05,0.9039337175674514,2.1373719986783613e-05,-0.0039337175674514
1.0,757.492453394003,0.2817004289304585,2.083759910129742,1.02459580561842,2.083154956475732,-0.0245958056184198,1.0,36.85403189171812,0.0135492764307787,0.0003080720921871,0.9938805935212006,0.0002706249565331,0.0061194064787993,1.0,10.617908370066658,0.0037413348731735,2.805855955925954e-05,1.0010634076615414,2.6927723709269102e-05,-0.0010634076615414,1.0,13.264011369565038,0.005101542834448,4.2801510626352297e-05,1.0022760599597953,3.762106169347135e-05,-0.0022760599597952,1.0,38.15677690577145,0.0130495133056673,0.0003946708685144,1.0043743313205733,0.0003755360940083,-0.0043743313205732,1.0,36.98050653177202,0.0130304815122522,0.00044965572957,1.003898174835565,0.000434459962519,-0.003898174835565,1.0,29.369613948065915,0.0097573468265999,0.0001650149996877,1.0008183334504988,0.0001643453300534,-0.0008183334504987,1.0,8.185077017731071,0.0028841004290807,1.7450769474058544e-05,1.0003599030575,1.732123926889706e-05,-0.0003599030574998
