num mid,SUM mid,MAE mid,MSE mid,MEAN mid,Var mid,Loss mid
0.1,36.57542062010565,0.01288774510926908,0.0004140530430969215,0.0978644037814823,0.0004094922718883825,0.0021355962185177074
0.2,41.368298271063345,0.01457656739642824,0.0005018547604897097,0.1952105849096553,0.0004789162635820271,0.004789415090344723
0.3,41.47529791822476,0.014614269879571798,0.0005013762177439808,0.2957366088650805,0.00048319971377468185,0.004263391134919525
0.4,39.252351740344345,0.013830990747126267,0.0004715980365502763,0.3982206631635499,0.00046843199697210736,0.001779336836450096
0.5,38.948782161793766,0.013724024722267006,0.0004896875924393536,0.5022391831121024,0.0004846736514280692,-0.002239183112102361
0.6,40.66424999417957,0.014328488370042133,0.0005107353374305241,0.6066031430388952,0.0004671338394371394,-0.006603143038895087
0.7,45.36415857302673,0.015984551998952337,0.0005987222967538444,0.70968210717437,0.0005049790974188673,-0.009682107174369903
0.8,45.45148290853321,0.016015321673197042,0.0005664499343523688,0.810683828621231,0.0004523057403460484,-0.010683828621230962
0.9,39.14243706208434,0.01379226112124184,0.00048034824020603493,0.9071554624348663,0.00042914759754852927,-0.007155462434866311
1,36.98050653177202,0.013030481512252298,0.00044965572957008135,1.003898174835565,0.0004344599625190071,-0.0038981748355650936
