num my,SUM my,MAE my,MSE my,MEAN my,Var my,Loss my
0,17.628683554822697,0.006211657348422374,6.927736622850978e-05,-0.00044502575094900176,6.907931830950205e-05,0.00044502575094900176
0.1,23.13975742349027,0.008153543841962745,0.0001149642196756694,0.09414432018361116,8.067523356356139e-05,0.005855679816388848
0.2,31.108401849900357,0.010961381906236913,0.00018313220402785792,0.19199058064580382,0.00011898140563656318,0.00800941935419619
0.3,28.214641454602816,0.009941734127767025,0.00016031578104003713,0.29340860351643416,0.00011686927343658449,0.006591396483565881
0.4,24.776654683290793,0.008730322298552076,0.0001347254350331862,0.39600649037324476,0.00011877731589496343,0.003993509626755265
0.5,25.13184767558131,0.008855478391677699,0.00013811310192811768,0.5003465756739158,0.0001379929872308283,-0.00034657567391582766
0.6,26.895266803037277,0.009476838196982832,0.00015697555620025543,0.6045544661577679,0.00013623239421689526,-0.004554466157767778
0.7,31.15904931625519,0.010979228088884845,0.0001955966258155622,0.7079216379273204,0.00013284427836468549,-0.007921637927320369
0.8,33.43057007014736,0.011779622998642481,0.00023611163839071342,0.8092618843436984,0.0001503291367942472,-0.009261884343698346
0.9,26.537219628381674,0.00935067640182582,0.00015885729385405818,0.9055575568677479,0.00012797085551385923,-0.005557556867747837
1,25.71066644898448,0.00905943144784513,0.00015161988836500062,1.001505912190326,0.00014935211684208305,-0.0015059121903260309
