num,SUM,MAE,MSE,MEAN,Var
1,1210.2677983175624,0.05170316978458486,0.004371560640703836,0.09870717339134084,0.004369889240063646
2,1231.3893753352374,0.05260549279456756,0.004569057259226308,0.1979060058317914,0.0045646724476495135
3,1164.6577394250469,0.04975468811624431,0.004214957054979893,0.2955096833082472,0.0041947941109884285
4,1165.0365654538814,0.04977087172991633,0.004391217432356329,0.3902296902779044,0.004295758480292539
5,1177.345247572503,0.05029670401454644,0.004252081786296003,0.49894464035439673,0.00425096800231109
6,1218.0308279876297,0.052034809808083976,0.004326148977760026,0.6065925920541365,0.004282686707765104
7,1184.4442918279633,0.05059997829066829,0.00426450506418834,0.7007327354042209,0.004263968163014165
8,1165.520490583381,0.04979154522314512,0.00419910539933219,0.7978918930517381,0.004194661284415702
9,1183.2353003061166,0.05054832964397286,0.00432793925853111,0.8976675548794457,0.0043224989582955065
10,1187.8604846771862,0.05074591954362552,0.004327475456209881,0.9949545678094395,0.004302019070247742
