num,SUM,MAE,MSE,MEAN,Var
1,32.52973496767857,0.007701168316211783,0.00013718776091963802,-0.09819099486602775,0.00013391526134495096
2,33.37410750764988,0.007901067118288325,0.00014250299641270834,-0.1977532634822493,0.000137455171432585
3,34.43889357900566,0.008153147154120658,0.00015141262990527342,-0.2972901935903744,0.00014406957912742324
4,33.04092625846907,0.00782218898164514,0.00013722058785663118,-0.39777977100490775,0.00013229117106558497
5,32.32043993321839,0.007651619302371778,0.00013470348707422306,-0.4987483925095517,0.0001331369657648629
6,32.905065056524606,0.007790024871336318,0.0001387936882846752,-0.6004361118943373,0.00013860349469924094
7,32.76217691513683,0.007756197186348681,0.00013632183499123892,-0.7008159469013663,0.00013565606564514
8,33.12150806150975,0.007841266113046816,0.0001428754080107891,-0.8009958235557009,0.0001418837434575826
9,32.724202953469785,0.007747207138605536,0.000138281653501702,-0.9003386651552877,0.00013816695941148982
10,32.404441673299786,0.00767150607795923,0.00014349880678465356,-1.0000335841559145,0.00014349767888521825
