num GCA,SUM GCA,MAE GCA,MSE GCA,MEAN GCA,Var GCA,Loss GCA
0.1,26.685869005571604,0.005606275001170505,6.013644937822634e-05,-0.10039156073995276,5.9983129565181065e-05,0.000391560739952751
0.2,26.792272750496757,0.005628628729095957,6.075019426401659e-05,-0.19932355030005533,6.029261006745834e-05,-0.0006764496999446812
0.3,29.544899148273334,0.006206911585771709,7.105103652201548e-05,-0.2991923117146949,7.039867615533935e-05,-0.0008076882853051415
0.4,31.58392864763903,0.006635279127655259,7.93706336477767e-05,-0.3990945185535667,7.855073699697401e-05,-0.0009054814464333205
0.5,32.363405306994885,0.00679903472836027,8.537872004093255e-05,-0.4996762075246073,8.527387847376278e-05,-0.0003237924753927146
0.6,33.35956186619183,0.007008311316426856,8.933325619131215e-05,-0.5997788012602051,8.928432730820335e-05,-0.00022119873979498106
0.7,34.83933418380559,0.007319187853740671,9.712338072853798e-05,-0.7002587534027597,9.705642740481801e-05,0.0002587534027596039
0.8,34.68189812926698,0.007286113052367013,9.743076775394132e-05,-0.8004855436986084,9.719501507232664e-05,0.00048554369860831503
0.9,34.41648662443187,0.007230354332863838,9.83155096068813e-05,-0.9010663727147075,9.717835884393011e-05,0.001066372714707442
1,34.26165788955336,0.007197827287721294,9.805821311890905e-05,-1.0004629533784262,9.784388729161542e-05,0.00046295337842616746
