num global,SUM global,MAE global,MSE global,MEAN global,Var global,Loss global
0,10.617908370065765,0.0037413348731732787,2.8058559559244373e-05,0.001063407661542091,2.6927723704617953e-05,-0.001063407661542091
0.1,16.234115736312216,0.005720266291864769,5.05429955282254e-05,0.0958523981935849,3.334039478365171e-05,0.004147601806415102
0.2,22.591824733607584,0.007960473831433258,8.816851429566016e-05,0.1931539151830167,4.1299636974322096e-05,0.006846084816983317
0.3,23.78633916712865,0.008381373913716931,9.47479704705178e-05,0.29261041993935916,4.014207699810923e-05,0.007389580060640888
0.4,18.236566970626598,0.0064258516457458064,6.404197526427482e-05,0.3954983070957657,4.37767362595487e-05,0.0045016929042343
0.5,11.917508760305793,0.004199263129071809,3.127787277330919e-05,0.49913889523411065,3.053637135480569e-05,0.0008611047658893534
0.6,15.095618169255795,0.005319104358441084,4.4620994082606755e-05,0.603983356465261,2.8753865353337016e-05,-0.003983356465260934
0.7,20.15226405817715,0.007100868237553611,6.81737520891511e-05,0.7064702015569714,2.631024389937453e-05,-0.006470201556971311
0.8,23.34550840628121,0.008226042426455676,9.225313490577333e-05,0.8077078751518131,3.284179555307354e-05,-0.007707875151813037
0.9,15.46057536306281,0.005447700973595071,4.530951386534196e-05,0.9042647729359286,2.71212256673925e-05,-0.004264772935928529
1,10.617908370066658,0.0037413348731735936,2.805855955925954e-05,1.0010634076615414,2.6927723709269102e-05,-0.001063407661541449
