num,SUM,MAE,MSE,MEAN,Var
1,1691.2700624840006,0.07619363258476373,0.009877066946038106,0.09722793122755322,0.009869382580758913
10,1702.8686789130024,0.07671616339654018,0.009967304705562587,1.0036578853274372,0.00995392458048383
2,1737.065945333981,0.07825678899553909,0.010387868894301171,0.18099824166806341,0.010026802074595761
3,1693.0183613999998,0.0762723954318151,0.010062833853522767,0.30339781346749667,0.010051288717161516
4,1751.0855340050002,0.07888838734986711,0.010825414591415408,0.3949601406904112,0.010800014409552222
5,1672.9481851380049,0.07536821125098009,0.009751521392532613,0.4931436405084487,0.009704511727054166
6,1772.1180747589942,0.0798359271414603,0.01089023467402994,0.5933631708606116,0.010846187173005617
7,1741.7659590709834,0.07846852993967579,0.010583905447110404,0.6877380230602766,0.01043354936864116
8,1680.487930030999,0.07570788530121184,0.00981036886916321,0.8166616029847729,0.009532759855137352
9,1691.845535742004,0.0762195583070687,0.009967475775162033,0.9058980889017464,0.00993268832246097
