num no,SUM no,MAE no,MSE no,MEAN no,Var no,Loss no
0.1,14.541604111629734,0.0028446017432765523,8.281051712616673e-06,-0.09715539825672367,1.8929263473181634e-07,-0.0028446017432763315
0.2,23.787734972886167,0.004653312788123272,2.1935598267416214e-05,-0.19534668721187678,2.822783632672188e-07,-0.004653312788123226
0.3,23.170935468890796,0.0045326556081554765,2.0911578693291403e-05,-0.29546734439184463,3.666118311568267e-07,-0.0045326556081554115
0.4,14.803418873473833,0.0028958174635120956,8.703915317080954e-06,-0.39710418253648727,3.1815653572797586e-07,-0.002895817463512751
0.5,2.271751319865449,0.0004443957980957451,3.4877158666772386e-07,-0.4997756081110068,2.984198663458226e-07,-0.00022439188899320284
0.6,12.370895052398176,0.0024199716456177966,6.174209363280221e-06,-0.6024186932084373,3.241325272629325e-07,0.0024186932084372392
0.7,21.146561461378944,0.004136651303086648,1.7461371856790366e-05,-0.7041366513030872,3.4948785326838205e-07,0.004136651303087158
0.8,22.499826575951523,0.004401374525812113,1.9699649507375776e-05,-0.8044013745258128,3.275517893586155e-07,0.004401374525812796
0.9,14.692369513479925,0.002874094192777763,8.431489807580235e-06,-0.9028740941927818,1.7107237171298806e-07,0.0028740941927817287
1,3.2752280205892577,0.0006406940572357703,6.301195638771381e-07,-1.00052367898408,3.558798917779882e-07,0.0005236789840799005
