num,SUM,MAE,MSE,MEAN,Var
1,146.54711061274622,0.03469391823218424,0.0017315268128435823,-0.13081168742158852,0.0007821667310777651
2,150.6338005847621,0.03566141112328648,0.0018555940195963292,-0.2320243921892084,0.0008300323245081162
3,148.31340722167636,0.03511207557331353,0.0018211704361111652,-0.33136982646908725,0.0008371044234099789
4,151.4605344294236,0.03585713409787491,0.001897377000203642,-0.4319133518429597,0.0008789149743512747
5,153.245941058975,0.036279815591613404,0.0019190195195534256,-0.5325469070628044,0.0008597183602002123
6,156.2446155292647,0.03698972905522365,0.0019671434348557905,-0.6333524328644635,0.0008547586568777299
7,158.33582818028034,0.03748480780783152,0.001984294976022817,-0.73419777328041,0.0008148072786862137
8,156.83645497443942,0.0371298425602366,0.0019385819437727672,-0.83384109355377,0.0007933623308589155
9,154.94740857051102,0.03668262513506416,0.0018776536135089407,-0.9332634163626848,0.0007711987453907776
10,155.34749041201886,0.0367773414801181,0.0018734039294795695,-1.0329728151574396,0.0007861973900731289
