num,SUM,MAE,MSE,MEAN,Var
1,1819.423760650064,0.07772657897513943,0.010104360462305704,0.09915966540960557,0.010103654300081873
2,1925.686983080605,0.08226619032299234,0.011121656707887907,0.20045969519836415,0.01112144538821292
3,1789.6761585968936,0.07645574840212294,0.009954625762429455,0.3001113461259387,0.009954613364469747
4,1653.545548607819,0.07064018919206336,0.008557909093520695,0.39576928885857166,0.008540010176758567
5,1816.9251279517866,0.07761983629322397,0.01022255944874489,0.5048656399426654,0.010198884996695079
6,1948.4454096294953,0.08323844026100032,0.011471559438257554,0.6139699390281085,0.011276400241811035
7,1908.748831442563,0.08154258507529746,0.011017069220726955,0.7093382741101828,0.010929865857370435
8,1663.1457377434533,0.07105031347161027,0.0087022221365041,0.8083551368911098,0.008632413824032348
9,1779.5001347777888,0.07602102421299509,0.009700845282756096,0.9100848995623734,0.00959914008356555
10,1761.602985354469,0.07525645016039256,0.009462553031714484,1.0042011996567939,0.009444902953158252
