num GCA,SUM GCA,MAE GCA,MSE GCA,MEAN GCA,Var GCA,Loss GCA
0.1,24.486032376378443,0.009002217785433251,0.00014609200981888898,0.09559652954300699,0.0001267014577532085,0.004403470456993019
0.2,29.752871734026193,0.010938555784568453,0.00021516001982267857,0.19159691387494554,0.00014454816339763005,0.00840308612505447
0.3,35.94727853848983,0.013215911227385968,0.00028313974546348165,0.28835635665737297,0.0001475653151731121,0.011643643342627075
0.4,31.756317284568524,0.011675116648738429,0.00024450493911182475,0.39256316330992685,0.000189198399156848,0.0074368366900731675
0.5,31.096249051846602,0.011432444504355368,0.00021475300995472136,0.49257470974518436,0.00015961807458689248,0.007425290254815642
0.6,33.342658178923635,0.012258330212839572,0.00024725690417504783,0.5991383190628715,0.0002465144101383432,0.0008616809371285727
0.7,35.67355557332216,0.013115277784309619,0.0002882414136288868,0.699767960276008,0.00028818757119469796,0.0002320397239921057
0.8,28.312941138348034,0.010409169536157366,0.00019237206023909196,0.8010477735906097,0.00019127423074316585,-0.0010477735906097019
0.9,32.0598366654785,0.011786704656425919,0.00023501073948836877,0.8950658136817519,0.00021066454486162733,0.004934186318248157
1,36.85403189171812,0.01354927643077872,0.0003080720921871371,0.9938805935212006,0.0002706249565331831,0.006119406478799383
