num my,SUM my,MAE my,MSE my,MEAN my,Var my,Loss my
0.1,16.068076805006097,0.0031432075127163727,1.2156611317656386e-05,-0.09698342811555709,3.0569053836564802e-06,-0.0030165718844429174
0.2,24.958346790479453,0.004882305710187686,2.8077154988783207e-05,-0.19517102638828762,4.7581688460626714e-06,-0.004828973611712389
0.3,25.712308293515218,0.005029794267119565,3.093821906030307e-05,-0.29508275485919844,6.758919285143605e-06,-0.004917245140801607
0.4,18.292676463250906,0.003578379589837814,1.796556549498216e-05,-0.39676352029383344,7.490764607626099e-06,-0.003236479706166584
0.5,10.997464472301418,0.0021513036917647534,7.829253919712405e-06,-0.49955954014211545,7.635249032938995e-06,-0.00044045985788454534
0.6,15.824248349761815,0.0030955102405637353,1.550939051500475e-05,-0.6022187943353052,1.058634221162702e-05,0.002218794335305141
0.7,22.2416224194267,0.004350865105521655,2.587395521155988e-05,-0.7040972014525781,9.086895467913525e-06,0.004097201452578081
0.8,22.815385936982256,0.004463103665293869,2.624222984045395e-05,-0.8042502683529144,8.17744876824289e-06,0.00425026835291431
0.9,16.91662886047065,0.0033091996988401113,1.5621256330878556e-05,-0.9026747072669609,8.46719736624646e-06,0.0026747072669608407
1,12.564683114644296,0.002457880108498493,9.586134559933423e-06,-1.0003784258524215,9.442928434300057e-06,0.0003784258524215378
