num Sample_global,SUM Sample_global,MAE Sample_global,MSE Sample_global,MEAN Sample_global,Var Sample_global,Loss Sample_global
0,8.839248650058154,0.0038414813776871596,2.633362146035974e-05,0.0005174384400957392,2.6065878921071027e-05,-0.0005174384400957392
0.1,12.425033612731287,0.005399840770417769,4.5049152608451655e-05,0.09603596384112156,2.9335569939555745e-05,0.003964036158878442
0.2,17.378653770066183,0.007552652659741931,7.92359313049938e-05,0.19379561603916204,4.074155097157084e-05,0.0062043839608379725
0.3,19.556811974066097,0.008499266394639764,9.757822231798403e-05,0.2927487395192836,4.4997443758770794e-05,0.007251260480716448
0.4,13.330702718372887,0.005793438817198126,5.559163567217207e-05,0.3967131732540597,4.4788405614698545e-05,0.00328682674594033
0.5,12.108879476846813,0.005262442188981665,4.784965191289272e-05,0.5005015798729238,4.759806954440782e-05,-0.000501579872923763
0.6,14.108804432559348,0.00613159688507577,7.412445040080756e-05,0.603633753266171,6.0920287601351486e-05,-0.0036337532661708805
0.7,17.29047046727734,0.007514328755878897,9.218339435739566e-05,0.7066716290531223,4.767276013462052e-05,-0.006671629053122241
0.8,18.73042247685972,0.008140122762650899,9.537928802253991e-05,0.8073305723147128,4.1641997562069655e-05,-0.007330572314712791
0.9,12.305710303551917,0.00534798361736285,5.4056153099658594e-05,0.9036442245382602,4.0775780616120194e-05,-0.003644224538260188
1,8.839248650058432,0.00384148137768728,2.6333621460358787e-05,1.0005174384400957,2.6065878921288643e-05,-0.0005174384400956633
