num,SUM,MAE,MSE,MEAN,Var
1,54.74139848607568,0.012959611384014129,0.00030083478998795145,-0.09578602912039723,0.0002830772394138304
2,55.37568159349698,0.013109773104521065,0.00029999576176027514,-0.19548485226161197,0.00027960920266070083
3,55.476592365909354,0.013133662965414147,0.0002971261655429214,-0.29508205548946603,0.0002729399873344224
4,54.97941973580579,0.013015961111696447,0.00029565618389730075,-0.39548408234650767,0.00027526267164393325
5,53.45811022293964,0.012655802609597451,0.00028351004173715903,-0.49647171924903066,0.00027106127667875235
6,52.80362729489733,0.012500858734587436,0.0002756927276787006,-0.597874725500126,0.00027117593597936196
7,53.02778401898142,0.012553926140857345,0.00028093789823715066,-0.6984471269013752,0.0002785264833771728
8,52.43659708339482,0.012413967112546123,0.0002717822260959508,-0.7988034902126278,0.00027035059042102016
9,53.26851498090453,0.01261091737237323,0.00028672894831253563,-0.8982307640715278,0.0002835987525465766
10,53.808217481635815,0.012738687850766055,0.0002868274063517858,-0.9979401440409312,0.0002825843997857902
