num,SUM,MAE,MSE,MEAN,Var
1,599.3539224089071,0.025604661757044903,0.0011325359995264974,0.09956400280014516,0.001132345905968125
2,648.0338718363597,0.027684290491983926,0.0012602985094513938,0.19751434148448124,0.0012541200111960693
3,601.0573525806155,0.025677433039158218,0.0011756629045264338,0.29468759795323707,0.001147441289018572
4,642.425676937393,0.027444705952554382,0.0013209667684906667,0.39017839344075045,0.0012245028130878077
5,595.603202165538,0.025444429347468305,0.0011605646066645532,0.4999723204769735,0.001160563840507528
6,655.2615089525718,0.027993058311370975,0.0013003400991726023,0.6086808629061057,0.0012249827183802853
7,617.3078514635249,0.02637166146033514,0.0011913383634821356,0.7036792014751224,0.001177801839975956
8,612.7079221408954,0.02617515046739984,0.0012243436673933857,0.8011934045788305,0.0012229194529119747
9,594.9607833015297,0.025416984932567055,0.0011411346744988093,0.8979129229691282,0.0011367787839818844
10,592.4035215988974,0.02530773759393786,0.0011194452653672355,0.9983324818575118,0.001116664648614707
