num my,SUM my,MAE my,MSE my,MEAN my,Var my,Loss my
0.1,24.31786175890383,0.008079023840167386,0.00011169103149643821,0.09423676189126444,7.847611799843487e-05,0.005763238108735566
0.2,35.06168927627732,0.011648401752916053,0.00021574811374807702,0.19096167593357902,0.0001340568118185434,0.009038324066420994
0.3,31.308851667439736,0.010401611849647753,0.00018365461791390518,0.29247036590062175,0.00012695922824326744,0.007529634099378291
0.4,31.01441664642372,0.010303792905788612,0.00019410847721467494,0.39524029762441815,0.00017145371050961145,0.004759702375581876
0.5,27.864708150224583,0.0092573781229982,0.00015407684255399693,0.4990203628643384,0.0001531171536353626,0.0009796371356616262
0.6,30.511576034791993,0.010136736224183386,0.00018917902534125626,0.6036643559404283,0.0001757515208826721,-0.0036643559404282433
0.7,32.52626058980968,0.010806066641132784,0.00019812947140050596,0.7067861729627213,0.00015207732792138495,-0.006786172962721215
0.8,34.395744013662274,0.011427157479622018,0.0002147696784922323,0.8083041366584026,0.00014581099284571852,-0.008304136658402572
0.9,28.58854745149062,0.009497856296176286,0.00015514750919396147,0.9050016933902801,0.00013013057242428072,-0.005001693390280115
1,29.369613948065915,0.009757346826599973,0.00016501499968770046,1.0008183334504988,0.00016434533005349472,-0.0008183334504987538
