num dark,SUM dark,MAE dark,MSE dark,MEAN dark,Var dark,Loss dark
0.1,12.341502788096298,0.0025927526865748523,1.2421306772085684e-05,-0.0991979786879153,1.1778068587020227e-05,-0.0008020213120847053
0.2,14.436224189265646,0.003032820207828917,1.7718757224295977e-05,-0.1979979248545653,1.3710452336203327e-05,-0.002002075145434712
0.3,16.833191008387637,0.0035363846656276546,2.202333411397983e-05,-0.29790875060809213,1.765001009558509e-05,-0.0020912493919079123
0.4,16.43194916056006,0.003452090159781525,2.132640783081216e-05,-0.3987427128334721,1.9745636813228717e-05,-0.0012572871665278984
0.5,16.250446760589085,0.003413959403485102,2.3159298196602197e-05,-0.4997058561432078,2.3072777587451743e-05,-0.0002941438567922172
0.6,15.688405394561022,0.0032958834862523156,2.1530648489094047e-05,-0.6006843461203241,2.106231887510912e-05,0.0006843461203239753
0.7,14.808982272152868,0.0031111307294438796,1.7224536009229362e-05,-0.7008527320983312,1.649738397796474e-05,0.0008527320983311437
0.8,13.493228104912827,0.002834711786746392,1.4815599530678206e-05,-0.80119665143111,1.3383624874463429e-05,0.0011966514311099186
0.9,11.20581662236278,0.0023541631559585675,1.0672274679793385e-05,-0.9001419373564703,1.0652128460630905e-05,0.0001419373564702786
1,12.664640155598251,0.002660638688150893,1.4667950579936917e-05,-0.9996814503336205,1.4566476686517227e-05,-0.0003185496663794529
