num mid,SUM mid,MAE mid,MSE mid,MEAN mid,Var mid,Loss mid
0.1,61.82683347763993,0.012094450993278546,0.0002798218076144263,-0.09841866486823209,0.00027732118681548373,-0.0015813351317679192
0.2,62.64963501783371,0.01225540591115683,0.00028383018043012293,-0.1972904275454969,0.00027648839754398913,-0.002709572454503123
0.3,62.637213957776375,0.012252976126325582,0.00027975886686978127,-0.29725072546743925,0.00027220035641450924,-0.002749274532560797
0.4,62.124972286677234,0.012152772356548755,0.0002767521820751315,-0.3979199706850294,0.00027242566012380953,-0.002080029314970644
0.5,62.058411843181446,0.012139751925504977,0.00027989742170280634,-0.49901536713716205,0.0002789279198260053,-0.000984632862837953
0.6,61.77384645048424,0.01208408576887407,0.0002787852513069966,-0.600071278974078,0.0002787801706170545,7.127897407788186e-05
0.7,61.710596127430826,0.012071712857478644,0.0002768480769529178,-0.7009670768119027,0.0002759128393914345,0.0009670768119026674
0.8,61.51663084308481,0.01203376972673803,0.00027422551059328045,-0.8011952567095413,0.0002727968719898888,0.001195256709541237
0.9,61.30203149332503,0.011991790198224772,0.0002726468304085401,-0.9005736516023527,0.0002723177542459654,0.0005736516023526761
1,61.17225749624044,0.011966404048560336,0.00027445564019624037,-0.99970215696158,0.0002743669297171625,-0.00029784303841995374
