num mid,SUM mid,MAE mid,MSE mid,MEAN mid,Var mid,Loss mid
0.1,21.24559514773657,0.0041560240899328185,3.099817570194389e-05,-0.09724706451309961,2.341952190686343e-05,-0.002752935486900393
0.2,27.447746154903342,0.005369277416843377,4.375542010866028e-05,-0.19547962544140246,2.3321633958253707e-05,-0.004520374558597551
0.3,27.515603313869434,0.005382551508972894,4.489510063389243e-05,-0.29549059278403017,2.4560347194071963e-05,-0.004509407215969874
0.4,21.495792265791568,0.004204967188143891,3.1210557331651933e-05,-0.39727905698750426,2.380702645457533e-05,-0.002720943012495758
0.5,17.41983051767326,0.003407635077792109,2.4582616533024574e-05,-0.4999467520338981,2.4579781186140348e-05,-5.324796610189919e-05
0.6,20.423932916709536,0.003995292041609847,3.0399603260382242e-05,-0.6025279895776823,2.4008871957303946e-05,0.002527989577682188
0.7,26.08344305412293,0.005102394963639071,4.299274056161256e-05,-0.7042886168283377,2.4600506262795196e-05,0.004288616828337588
0.8,26.973597981504106,0.005276525426741805,4.480240849241249e-05,-0.8044922363979036,2.4622220640369008e-05,0.004492236397903526
0.9,21.55467907888098,0.004216486517777969,3.239265681332239e-05,-0.9029919529334145,2.344087445937948e-05,0.0029919529334144768
1,17.110984684710154,0.003347219226273504,2.329001683190355e-05,-1.0006708842979948,2.2839931097085042e-05,0.0006708842979947782
