num GCA,SUM GCA,MAE GCA,MSE GCA,MEAN GCA,Var GCA,Loss GCA
0.1,15.083032874359153,0.0029505150380201785,1.6196916317441594e-05,-0.09871477262081929,1.4545106901308474e-05,-0.0012852273791807145
0.2,21.041218298381956,0.004116044268071588,2.8804432095385003e-05,-0.19675301883360435,1.8261545400299894e-05,-0.003246981166395657
0.3,25.60276160540396,0.00500836494628403,3.929809315654184e-05,-0.296072545871823,2.3873197227422538e-05,-0.0039274541281770214
0.4,25.931542835927377,0.005072680523459972,4.215180200347399e-05,-0.39667439752882677,3.1092170207691616e-05,-0.00332560247117325
0.5,25.073066750939645,0.004904747017006973,4.070407218557299e-05,-0.497749360267251,3.5638692980538567e-05,-0.002250639732749027
0.6,25.640705259861708,0.00501578741390096,4.320934129184755e-05,-0.5985364846104237,4.1067463996680154e-05,-0.001463515389576342
0.7,26.43184170982383,0.005170548065302001,4.5488555304236224e-05,-0.6997435697331262,4.542279882385758e-05,-0.0002564302668738305
0.8,29.007140853541504,0.005674323328157571,5.497625665457207e-05,-0.800111514156581,5.496382124625665e-05,0.00011151415658094965
0.9,30.67191329949273,0.005999983039806872,6.125587978358101e-05,-0.8998182147231597,6.122283389764505e-05,-0.0001817852768403183
1,30.823541766476637,0.006029644320515774,6.152970510621127e-05,-0.9996085743382458,6.137649105941723e-05,-0.0003914256617542078
