num,SUM,MAE,MSE,MEAN,Var
1,1405.3192204579573,0.06003585186508703,0.006756537795443009,0.10054424903390083,0.006756241588431997
2,1433.4338702887046,0.061236922004814794,0.007005571639721538,0.19742795817125058,0.00699895624055305
3,1417.6157533658195,0.06056116513011874,0.006770846429284172,0.29369148267082945,0.006731049038392681
4,1441.855355250402,0.061596691526418404,0.006942078700160755,0.38912672057844927,0.006823850494782763
5,1418.7369625888978,0.060609063678609784,0.006852330273001983,0.49893833019811173,0.0068512031302332965
6,1454.9303889716073,0.062155262686756974,0.007274213010442914,0.6088082905244341,0.007196627028480007
7,1433.536483730417,0.061241305695933744,0.0069831056938216875,0.7039897873677573,0.006967187290580157
8,1415.6738355735035,0.06047820555252493,0.006729846726846674,0.8013687700889716,0.006727973195297832
9,1402.5307681796014,0.05991672796392692,0.006660313955640213,0.8992335199949508,0.006659726464043003
10,1373.812942662726,0.05868988989502418,0.006432190695414286,0.9985513349805892,0.006430092065082493
