num global,SUM global,MAE global,MSE global,MEAN global,Var global,Loss global,num mid,SUM mid,MAE mid,MSE mid,MEAN mid,Var mid,Loss mid,num no,SUM no,MAE no,MSE no,MEAN no,Var no,Loss no
0.0,10.617908370065765,0.0037413348731732,2.8058559559244373e-05,0.001063407661542,2.6927723704617956e-05,-0.001063407661542,0.0,36.68733678742106,0.0129271799814732,0.0004568545909524,0.0032663058331147,0.000446185837157,-0.0032663058331147,0.0,8.185077017730077,0.0028841004290803,1.7450769474051605e-05,0.0003599030575018,1.7321239263252405e-05,-0.0003599030575018
0.1,16.234115736312216,0.0057202662918647,5.05429955282254e-05,0.0958523981935849,3.334039478365171e-05,0.0041476018064151,0.1,36.57542062010565,0.012887745109269,0.0004140530430969,0.0978644037814823,0.0004094922718883,0.0021355962185177,0.1,15.843428254626502,0.0055826033314399,4.699121917306792e-05,0.0955556175291887,2.7238683626178845e-05,0.0044443824708112
0.2,22.591824733607584,0.0079604738314332,8.816851429566016e-05,0.1931539151830167,4.1299636974322096e-05,0.0068460848169833,0.2,41.36829827106335,0.0145765673964282,0.0005018547604897,0.1952105849096553,0.000478916263582,0.0047894150903447,0.2,23.11150876408846,0.0081435901212432,8.973379872914741e-05,0.1927249718833192,3.6807764630657214e-05,0.0072750281166808
0.3,23.78633916712865,0.0083813739137169,9.47479704705178e-05,0.2926104199393591,4.014207699810923e-05,0.0073895800606408,0.3,41.47529791822476,0.0146142698795717,0.0005013762177439,0.2957366088650805,0.0004831997137746,0.0042633911349195,0.3,23.78396232953053,0.0083805364092778,9.657081375231e-05,0.2924559839247179,3.965863520809243e-05,0.0075440160752821
0.4,18.2365669706266,0.0064258516457458,6.404197526427482e-05,0.3954983070957657,4.37767362595487e-05,0.0045016929042343,0.4,39.252351740344345,0.0138309907471262,0.0004715980365502,0.3982206631635499,0.0004684319969721,0.00177933683645,0.4,17.45496559199375,0.0061504459450295,5.610926113458161e-05,0.3954556151002864,3.545782701816491e-05,0.0045443848997135
0.5,11.917508760305791,0.0041992631290718,3.127787277330919e-05,0.4991388952341106,3.053637135480569e-05,0.0008611047658893,0.5,38.948782161793766,0.013724024722267,0.0004896875924393,0.5022391831121024,0.000484673651428,-0.0022391831121023,0.5,11.404852949737682,0.0040186233085756,2.911928604566995e-05,0.4992373528354168,2.8537655348714885e-05,0.0007626471645831
0.6,15.095618169255795,0.005319104358441,4.462099408260676e-05,0.603983356465261,2.8753865353337016e-05,-0.0039833564652609,0.6,40.66424999417957,0.0143284883700421,0.0005107353374305,0.6066031430388952,0.0004671338394371,-0.006603143038895,0.6,13.707053988814415,0.0048298287487013,3.70555352848958e-05,0.6037378198575986,2.3084237996295887e-05,-0.0037378198575984
0.7,20.15226405817715,0.0071008682375536,6.81737520891511e-05,0.7064702015569714,2.631024389937453e-05,-0.0064702015569713,0.7,45.36415857302673,0.0159845519989523,0.0005987222967538,0.70968210717437,0.0005049790974188,-0.0096821071743699,0.7,20.630436847537187,0.0072693575925078,7.172477174758684e-05,0.7067533769893082,2.611667098773029e-05,-0.0067533769893081
0.8,23.34550840628121,0.0082260424264556,9.225313490577332e-05,0.8077078751518131,3.284179555307354e-05,-0.007707875151813,0.8,45.45148290853321,0.016015321673197,0.0005664499343523,0.810683828621231,0.000452305740346,-0.0106838286212309,0.8,21.671665726245788,0.0076362458513903,7.869239618646902e-05,0.8072087708796021,2.672601858988433e-05,-0.007208770879602
0.9,15.46057536306281,0.005447700973595,4.530951386534196e-05,0.9042647729359286,2.71212256673925e-05,-0.0042647729359285,0.9,39.14243706208434,0.0137922611212418,0.000480348240206,0.9071554624348664,0.0004291475975485,-0.0071554624348663,0.9,13.918129937683196,0.0049042036425945,3.684785389042784e-05,0.9039337175674514,2.1373719986783613e-05,-0.0039337175674514
1.0,10.617908370066658,0.0037413348731735,2.805855955925954e-05,1.0010634076615414,2.6927723709269102e-05,-0.0010634076615414,1.0,36.98050653177202,0.0130304815122522,0.00044965572957,1.003898174835565,0.000434459962519,-0.003898174835565,1.0,8.185077017731071,0.0028841004290807,1.7450769474058544e-05,1.0003599030575,1.732123926889706e-05,-0.0003599030574998
