num he,SUM he,MAE he,MSE he,MEAN he,Var he,Loss he
0.1,7.889857006945795,0.0016571848365775667,4.10890924336123e-06,-0.09870330700395832,2.4274965173924634e-06,-0.0012966929960416818
0.2,12.100614619055689,0.002541611976277187,8.58732919560517e-06,-0.19753872506398187,2.5294548850543497e-06,-0.0024612749360181374
0.3,12.575358516130745,0.00264132714054416,9.293624109600467e-06,-0.2974264279040111,2.6703507765013512e-06,-0.002573572095988963
0.4,10.65939786304673,0.0022388989420388007,8.164981082565768e-06,-0.397943417942663,3.935451324266204e-06,-0.0020565820573369975
0.5,7.121975918956348,0.0014958991638219592,3.7613488064644804e-06,-0.4992300707273874,3.168557720367726e-06,-0.0007699292726126017
0.6,6.939284249832916,0.0014575266225231919,3.6381311302162234e-06,-0.6002232032768268,3.5883114291590523e-06,0.00022320327682667784
0.7,7.792896437273816,0.0016368192474845234,4.1865621603313125e-06,-0.7011050453961961,2.965436835422608e-06,0.0011050453961960471
0.8,7.843394119555277,0.0016474257760040489,4.342494158858976e-06,-0.8013376642938401,2.55314839059384e-06,0.0013376642938400796
0.9,5.919128422495758,0.0012432531868296068,2.5821723694354097e-06,-0.9004930892044635,2.339035406917489e-06,0.0004930892044634483
1,6.403953126765714,0.0013450857229081524,3.3309810632493313e-06,-0.999616553854497,3.183950118779144e-06,-0.00038344614550300804
