num Sample_dark,SUM Sample_dark,MAE Sample_dark,MSE Sample_dark,MEAN Sample_dark,Var Sample_dark,Loss Sample_dark,num Sample_di,SUM Sample_di,MAE Sample_di,MSE Sample_di,MEAN Sample_di,Var Sample_di,Loss Sample_di,num Sample_do,SUM Sample_do,MAE Sample_do,MSE Sample_do,MEAN Sample_do,Var Sample_do,Loss Sample_do,num Sample_GCA,SUM Sample_GCA,MAE Sample_GCA,MSE Sample_GCA,MEAN Sample_GCA,Var Sample_GCA,Loss Sample_GCA,num Sample_global,SUM Sample_global,MAE Sample_global,MSE Sample_global,MEAN Sample_global,Var Sample_global,Loss Sample_global,num Sample_he,SUM Sample_he,MAE Sample_he,MSE Sample_he,MEAN Sample_he,Var Sample_he,Loss Sample_he,num Sample_mid,SUM Sample_mid,MAE Sample_mid,MSE Sample_mid,MEAN Sample_mid,Var Sample_mid,Loss Sample_mid,num Sample_no,SUM Sample_no,MAE Sample_no,MSE Sample_no,MEAN Sample_no,Var Sample_no,Loss Sample_no
0.0,37.17062465134703,0.0161541176233581,0.0005952582916311,0.0042078375583774,0.0005775523947134,-0.0042078375583774,0.0,162.1460456391378,0.0713356997972449,0.011194204153222,0.0147321733954431,0.0109771672202686,-0.0147321733954431,0.0,35.37444070418759,0.0153735074768307,0.0004301296400422,-0.0063286552103385,0.0003900777632709,0.0063286552103385,0.0,972.63716320526,0.4227019396806866,0.2489953199321559,-0.4202603164448529,0.0723765863538281,0.4202603164448529,0.0,8.839248650058154,0.0038414813776871,2.633362146035974e-05,0.0005174384400957,2.6065878921071027e-05,-0.0005174384400957,0.0,21.509334183276614,0.0093478201578777,0.0001748771647749,0.0007849026919272,0.0001742610925391,-0.0007849026919272,0.0,19.64633226938123,0.0085381713469714,0.000146068413212,0.0004921808050421,0.0001458261712671,-0.0004921808050421,0.0,5.929921482992168,0.0025771062507571,1.2937035488278425e-05,0.0001365427098761,1.2918391576658108e-05,-0.0001365427098761
0.1,38.14391379787863,0.0165771029108555,0.0006594676621901,0.0991326867110236,0.0006587154298488,0.0008673132889763,0.1,42756.48769102981,21.324931516723098,2420.2803329594503,-21.14278464908309,1969.0244333121316,21.24278464908309,0.1,38.540585987847535,0.0167494941277042,0.0004652105687008,0.0895865276830196,0.0003567701630042,0.0104134723169803,0.1,981.4261983055674,0.4265215985682605,0.2531412163491214,-0.3240909246397238,0.073288103987345,0.4240909246397237,0.1,12.425033612731289,0.0053998407704177,4.5049152608451655e-05,0.0960359638411215,2.9335569939555745e-05,0.0039640361588784,0.1,22.353911060203973,0.0097148679096931,0.0001874865633824,0.0958569347052031,0.0001703215733455,0.0041430652947968,0.1,21.156857447247045,0.0091946360048878,0.0001645275738649,0.0955444559383763,0.0001446757009798,0.0044555440616236,0.1,12.499688456623426,0.0054322852918832,4.095217982027424e-05,0.0953098879086961,1.8955028391260884e-05,0.0046901120913038
0.2,42.46123671379692,0.0184533840564089,0.0007673219516574,0.1951272176697764,0.0007435779440197,0.0048727823302236,0.2,183.46478306505043,0.0800108081400132,0.0142223733459989,0.2291656656767477,0.0133717372916309,-0.0291656656767476,0.2,45.87769891043137,0.0199381568493834,0.0006785213244823,0.1875949630327288,0.000524636382323,0.0124050369672711,0.2,981.6480392158028,0.4266180092202533,0.2539845778599934,-0.2245455472850043,0.0737456561404693,0.4245455472850043,0.2,17.378653770066183,0.0075526526597419,7.92359313049938e-05,0.193795616039162,4.074155097157084e-05,0.0062043839608379,0.2,27.38461318138561,0.0119011791314148,0.0002467864511751,0.1923385282498717,0.0001880883017972,0.0076614717501282,0.2,26.017510735711998,0.0113070450828822,0.0002175440875548,0.1925024917993235,0.0001613314583355,0.0074975082006764,0.2,18.67019534610028,0.008113948433768,8.313855661515962e-05,0.1924349458412688,2.5908512190440932e-05,0.0075650541587311
0.3,477.83575231198495,0.2076643860547522,1.302707692501408,0.4682910068340769,1.2743858295201815,-0.1682910068340768,0.3,168.6411901522341,0.0738682392256829,0.011338538617947,0.3190638896585375,0.0109751067290342,-0.0190638896585374,0.3,46.45367427593778,0.02018847208863,0.0006810120926431,0.2865946623679584,0.0005013090156141,0.0134053376320416,0.3,974.8585505687132,0.4236673405339909,0.2519643476379737,-0.121575568948836,0.074238387303439,0.4215755689488361,0.3,19.556811974066097,0.0084992663946397,9.757822231798404e-05,0.2927487395192836,4.49974437587708e-05,0.0072512604807164,0.3,28.414225675228398,0.0123486421882783,0.000245202109428,0.2918580541592719,0.0001789108273543,0.008141945840728,0.3,27.411437234130776,0.0119128366945374,0.0002220037381512,0.2921445158458642,0.0001602951068552,0.0078554841541358,0.3,19.80930102121396,0.0086089965324702,9.6724010094798e-05,0.2922633331323949,3.686799587426792e-05,0.0077366668676051
0.4,36.2142340620368,0.0157384763416066,0.000523041177937,0.398268435614229,0.0005200428627153,0.001731564385771,0.4,8818.534334450316,4.217376534887765,314.1063992834807,4.5507954618921325,296.87729631701666,-4.150795461892132,0.4,46.03566427089446,0.0200068075927398,0.0006740400805282,0.3879125396145127,0.0005279333819567,0.0120874603854873,0.4,972.8182035782792,0.4227806186780874,0.2497167904584139,-0.0212902484035726,0.0722313170584695,0.4212902484035727,0.4,13.330702718372889,0.0057934388171981,5.559163567217207e-05,0.3967131732540597,4.478840561469855e-05,0.0032868267459403,0.4,25.26647280314919,0.0109806487627767,0.0001980795563546,0.3945462279002767,0.0001683359262398,0.0054537720997233,0.4,24.068848592940576,0.0104601688800263,0.0001842305864463,0.3948960403134199,0.000158180181965,0.0051039596865801,0.4,14.631043554739357,0.0063585586939327,5.678303836154326e-05,0.3951174374881551,3.2943621678910295e-05,0.0048825625118448
0.5,35.66656988155258,0.0155004649637342,0.0005431052193495,0.5014375457827962,0.0005410386814716,-0.0014375457827962,0.5,164.4226357717122,0.0745342863879021,0.0113225433655487,0.5091420610518925,0.011238966085273,-0.0091420610518925,0.5,44.36569106983189,0.0192810478356505,0.0006572236939206,0.4904889204695372,0.0005667630600859,0.0095110795304627,0.5,975.7208216132816,0.4240420780587925,0.2520673906248209,0.0776290012629693,0.0736701300507039,0.4223709987370306,0.5,12.108879476846813,0.0052624421889816,4.784965191289272e-05,0.5005015798729238,4.759806954440782e-05,-0.0005015798729237,0.5,21.59305650882917,0.009384205349339,0.0001741068892399,0.4979413635471807,0.0001698689051952,0.0020586364528192,0.5,20.843126074917663,0.0090582903411202,0.0001635017385187,0.4980876764824316,0.0001598447572827,0.0019123235175683,0.5,9.133178092922886,0.003969221248554,2.798228251315399e-05,0.4991210885796714,2.7209797228644472e-05,0.0008789114203285
0.6,45.601338899629496,0.0198180525422118,0.0008515716441489,0.6088659459067678,0.0007729666473269,-0.0088659459067677,0.6,143.38245620434589,0.0665656714040603,0.0101153050156292,0.6196453849256484,0.0097293638667505,-0.0196453849256482,0.6,40.40704103520427,0.0175606436485025,0.0006109500626073,0.5951856316269073,0.0005877719197747,0.0048143683730927,0.6,972.6897973721078,0.4227248141556314,0.2512910832615337,0.1793194589685944,0.0743189656590575,0.4206805410314056,0.6,14.108804432559348,0.0061315968850757,7.412445040080756e-05,0.603633753266171,6.0920287601351486e-05,-0.0036337532661708,0.6,24.255374842105784,0.0105412320043919,0.0002054823276421,0.6040094924862135,0.0001894062976455,-0.0040094924862134,0.6,23.757476465004903,0.0103248485289026,0.0001994844626233,0.6040178438649608,0.0001833413933019,-0.0040178438649607,0.6,11.491228628841457,0.0049940150494747,4.364505998462505e-05,0.6038226750061689,2.903221578143267e-05,-0.0038226750061688
0.7,49.5843720046796,0.0215490534570532,0.0009220131698178,0.7125875470043121,0.0007635668302361,-0.012587547004312,0.7,169.9983490099156,0.0776957719423745,0.0121395400525396,0.7343271374923626,0.0109611876841204,-0.0343271374923624,0.7,37.91099013031878,0.0164758757628504,0.0005639079893664,0.6974889557525344,0.0005576026461522,0.0025110442474656,0.7,966.5100619764112,0.420039140363499,0.2479397791859592,0.2818032091323303,0.0730512232939404,0.4181967908676697,0.7,17.29047046727734,0.0075143287558788,9.218339435739566e-05,0.7066716290531223,4.767276013462052e-05,-0.0066716290531222,0.7,27.988866851852524,0.0121637839425695,0.0002442522337264,0.7071886962812715,0.0001925748795041,-0.0071886962812713,0.7,26.429288616457004,0.0114860011370956,0.0002190419130828,0.7072169793564239,0.00016695712205,-0.0072169793564238,0.7,17.526181286652506,0.0076167671823783,7.939516369744555e-05,0.7071694245110105,2.799451587942592e-05,-0.0071694245110104
0.8,46.21321935179189,0.0200839719042989,0.0008666233826283,0.8109401847407804,0.0007469357404626,-0.0109401847407804,0.8,29148.58208999998,15.579145959380002,1592.297541592494,-14.687787082147496,1352.4259928905558,15.487787082147497,0.8,38.62653026027863,0.0167868449631806,0.000573697974476,0.7983840500868742,0.0005710866803548,0.0016159499131258,0.8,971.9036904102632,0.4223831770579154,0.2495218146252081,0.3795145562906717,0.0727138062537795,0.4204854437093283,0.8,18.73042247685972,0.0081401227626508,9.537928802253992e-05,0.8073305723147128,4.1641997562069655e-05,-0.0073305723147127,0.8,27.00821214749517,0.0117375976303759,0.0002471955769614,0.8068118565375317,0.0002007941874709,-0.0068118565375316,0.8,25.95032868200889,0.0112778481886175,0.0002265749082553,0.8068318257360141,0.0001799010653719,-0.006831825736014,0.8,17.3842209189369,0.0075550721073172,7.788464853027082e-05,0.807242276395271,2.5434081142527987e-05,-0.0072422763952709
0.9,42.37412464574619,0.018415525704366,0.0007376025575194,0.9058119836768072,0.0007038234032624,-0.0058119836768072,0.9,155.475446192142,0.0693158476112982,0.0091516023755858,0.9214137468167152,0.0086930538228557,-0.0214137468167152,0.9,38.61464692078203,0.0167816805392359,0.0005780629720559,0.8965449557282756,0.000566125641138,0.0034550442717243,0.9,980.3579723785946,0.4260573543583635,0.2518364294856851,0.4755880276969113,0.0717109072514864,0.4244119723030887,0.9,12.305710303551916,0.0053479836173628,5.4056153099658594e-05,0.9036442245382602,4.0775780616120194e-05,-0.0036442245382601,0.9,23.3938190696771,0.0101668053323238,0.0002024283464137,0.9033943005833668,0.0001909070699669,-0.0033943005833668,0.9,21.730522387052822,0.0094439471477848,0.0001719519708172,0.90306387027365,0.000162564669764,-0.0030638702736498,0.9,11.038503895601954,0.0047972637529778,3.46588277703881e-05,0.9041662644616472,1.7301068202968395e-05,-0.0041662644616471
